Enero 2022

Día del mes	Crep. Matutino	Salida	Azimut Salida	Puesta	Azimut Puesta	Crep. Vespertino
01	05:14	05:44	119	20:09	241	20:39
02	05:15	05:44	118	20:09	241	20:39
03	05:16	05:45	118	20:09	241	20:39
04	05:17	05:46	118	20:10	241	20:39
05	05:17	05:47	118	20:10	241	20:39
06	05:18	05:48	118	20:10	241	20:39
07	05:19	05:48	118	20:10	241	20:39
08	05:20	05:49	118	20:10	242	20:39
09	05:21	05:50	117	20:10	242	20:38
10	05:22	05:51	117	20:09	242	20:38
11	05:23	05:52	117	20:09	242	20:38
12	05:24	05:53	117	20:09	242	20:38
13	05:25	05:54	117	20:09	242	20:38
14	05:26	05:55	116	20:09	243	20:37
15	05:27	05:56	116	20:08	243	20:37
16	05:28	05:57	116	20:08	243	20:37
17	05:29	05:58	116	20:08	243	20:36
18	05:30	05:59	115	20:07	244	20:36
19	05:31	06:00	115	20:07	244	20:35
20	05:32	06:01	115	20:07	244	20:35
21	05:33	06:02	115	20:06	244	20:34
22	05:35	06:03	114	20:06	245	20:34
23	05:36	06:04	114	20:05	245	20:33
24	05:37	06:05	114	20:05	245	20:33
25	05:38	06:06	113	20:04	246	20:32
26	05:39	06:07	113	20:04	246	20:31
27	05:40	06:08	113	20:03	246	20:31
28	05:41	06:09	112	20:02	247	20:30
29	05:42	06:10	112	20:02	247	20:29
30	05:43	06:11	112	20:01	247	20:28
31	05:44	06:12	111	20:00	248	20:28

Febrero 2022

Día del mes	Crep. Matutino	Salida	Azimut Salida	Puesta	Azimut Puesta	Crep. Vespertino
01	05:46	06:13	111	19:59	248	20:27
02	05:47	06:14	111	19:59	248	20:26
03	05:48	06:15	110	19:58	249	20:25
04	05:49	06:16	110	19:57	249	20:24
05	05:50	06:17	110	19:56	249	20:23
06	05:51	06:18	109	19:55	250	20:22
07	05:52	06:19	109	19:54	250	20:21
08	05:53	06:20	108	19:53	251	20:20
09	05:54	06:21	108	19:52	251	20:19
10	05:55	06:22	108	19:52	251	20:18
11	05:56	06:23	107	19:51	252	20:17
12	05:57	06:24	107	19:50	252	20:16
13	05:59	06:25	106	19:49	253	20:15
14	06:00	06:26	106	19:47	253	20:14
15	06:01	06:27	106	19:46	253	20:13
16	06:02	06:28	105	19:45	254	20:12
17	06:03	06:29	105	19:44	254	20:10
18	06:04	06:30	104	19:43	255	20:09
19	06:05	06:31	104	19:42	255	20:08
20	06:06	06:32	103	19:41	256	20:07
21	06:07	06:33	103	19:40	256	20:06
22	06:08	06:34	103	19:38	257	20:04
23	06:09	06:35	102	19:37	257	20:03
24	06:10	06:36	102	19:36	257	20:02
25	06:11	06:36	101	19:35	258	20:01
26	06:12	06:37	101	19:34	258	19:59
27	06:13	06:38	100	19:32	259	19:58
28	06:13	06:39	100	19:31	259	19:57

Marzo 2022

Día del mes	Crep. Matutino	Salida	Azimut Salida	Puesta	Azimut Puesta	Crep. Vespertino
01	06:14	06:40	99	19:30	260	19:55
02	06:15	06:41	99	19:29	260	19:54
03	06:16	06:42	98	19:27	261	19:53
04	06:17	06:43	98	19:26	261	19:51
05	06:18	06:44	97	19:25	262	19:50
06	06:19	06:44	97	19:23	262	19:49
07	06:20	06:45	97	19:22	263	19:47
08	06:21	06:46	96	19:21	263	19:46
09	06:22	06:47	96	19:19	263	19:45
10	06:22	06:48	95	19:18	264	19:43
11	06:23	06:49	95	19:17	264	19:42
12	06:24	06:49	94	19:15	265	19:40
13	06:25	06:50	94	19:14	265	19:39
14	06:26	06:51	93	19:13	266	19:38
15	06:27	06:52	93	19:11	266	19:36
16	06:28	06:53	92	19:10	267	19:35
17	06:28	06:54	92	19:08	267	19:34
18	06:29	06:54	91	19:07	268	19:32
19	06:30	06:55	91	19:06	268	19:31
20	06:31	06:56	90	19:04	269	19:29
21	06:32	06:57	90	19:03	269	19:28
22	06:32	06:58	89	19:01	270	19:27
23	06:33	06:58	89	19:00	270	19:25
24	06:34	06:59	88	18:59	271	19:24
25	06:35	07:00	88	18:57	271	19:22
26	06:36	07:01	87	18:56	272	19:21
27	06:36	07:01	87	18:55	272	19:20
28	06:37	07:02	86	18:53	273	19:18
29	06:38	07:03	86	18:52	273	19:17
30	06:39	07:04	86	18:50	274	19:15
